S.No.,Electricity Consumption,"Size of the House
(in sq feet)"
1,1060,1316
2,1150,1420
3,1365,1556
4,1275,1488
5,1425,1612
6,1310,1516
7,1365,1556
8,1075,1352
9,925,1168
10,1340,1540
11,1425,1612
12,1150,1420
13,1060,1316
14,1545,1680
15,1140,1388
16,1075,1352
17,1620,1736
18,1050,1296
19,1310,1516
20,1645,1760
21,1565,1696
22,1215,1464
23,1275,1488
24,1465,1632
25,1080,1356
26,975,1196
27,1040,1256
28,1340,1540
29,865,1144
30,1175,1440
31,1080,1356
32,1500,1652
33,1175,1440
34,1050,1296
35,1365,1580
36,1465,1632
37,1215,1464
38,1365,1580
39,1140,1388
40,1005,1224
